"","Date","submission_count","log_sub_count"
"141",2017-08-24,14,2.63905732961526
"142",2017-08-25,10,2.30258509299405
"143",2017-08-26,13,2.56494935746154
"144",2017-08-27,22,3.09104245335832
"145",2017-08-28,16,2.77258872223978
"146",2017-08-29,13,2.56494935746154
"147",2017-08-30,10,2.30258509299405
"148",2017-08-31,8,2.07944154167984
"149",2017-09-01,7,1.94591014905531
"150",2017-09-02,12,2.484906649788
"151",2017-09-03,6,1.79175946922805
"152",2017-09-04,18,2.89037175789616
"153",2017-09-05,10,2.30258509299405
"154",2017-09-06,12,2.484906649788
"155",2017-09-07,15,2.70805020110221
"156",2017-09-08,11,2.39789527279837
"157",2017-09-09,9,2.19722457733622
"158",2017-09-10,13,2.56494935746154
"159",2017-09-11,11,2.39789527279837
"160",2017-09-12,11,2.39789527279837
"161",2017-09-13,14,2.63905732961526
"162",2017-09-14,11,2.39789527279837
"163",2017-09-15,8,2.07944154167984
"164",2017-09-16,13,2.56494935746154
"165",2017-09-17,12,2.484906649788
"166",2017-09-18,10,2.30258509299405
"167",2017-09-19,16,2.77258872223978
"168",2017-09-20,18,2.89037175789616
"169",2017-09-21,9,2.19722457733622
"170",2017-09-22,9,2.19722457733622
"171",2017-09-23,13,2.56494935746154
"172",2017-09-24,15,2.70805020110221
"173",2017-09-25,19,2.94443897916644
"174",2017-09-26,7,1.94591014905531
"175",2017-09-27,13,2.56494935746154
"176",2017-09-28,14,2.63905732961526
"177",2017-09-29,12,2.484906649788
"178",2017-09-30,16,2.77258872223978
"179",2017-10-01,12,2.484906649788
"180",2017-10-02,8,2.07944154167984
"181",2017-10-03,19,2.94443897916644
"182",2017-10-04,17,2.83321334405622
"183",2017-10-05,17,2.83321334405622
"184",2017-10-06,7,1.94591014905531
"185",2017-10-07,11,2.39789527279837
"186",2017-10-08,11,2.39789527279837
"187",2017-10-09,11,2.39789527279837
"188",2017-10-10,11,2.39789527279837
"189",2017-10-11,7,1.94591014905531
"190",2017-10-12,13,2.56494935746154
"191",2017-10-13,6,1.79175946922805
"192",2017-10-14,8,2.07944154167984
"193",2017-10-15,16,2.77258872223978
"194",2017-10-16,16,2.77258872223978
"195",2017-10-17,18,2.89037175789616
"196",2017-10-18,21,3.04452243772342
"197",2017-10-19,15,2.70805020110221
"198",2017-10-20,14,2.63905732961526
"199",2017-10-21,21,3.04452243772342
"200",2017-10-22,17,2.83321334405622
"201",2017-10-23,15,2.70805020110221
"202",2017-10-24,17,2.83321334405622
"203",2017-10-25,10,2.30258509299405
"204",2017-10-26,17,2.83321334405622
"205",2017-10-27,18,2.89037175789616
"206",2017-10-28,12,2.484906649788
"207",2017-10-29,23,3.13549421592915
"208",2017-10-30,25,3.2188758248682
"209",2017-10-31,20,2.99573227355399
"210",2017-11-01,23,3.13549421592915
"211",2017-11-02,16,2.77258872223978
"212",2017-11-03,9,2.19722457733622
"213",2017-11-04,7,1.94591014905531
"214",2017-11-05,14,2.63905732961526
"215",2017-11-06,11,2.39789527279837
"216",2017-11-07,18,2.89037175789616
"217",2017-11-08,16,2.77258872223978
"218",2017-11-09,9,2.19722457733622
"219",2017-11-10,15,2.70805020110221
"220",2017-11-11,9,2.19722457733622
"221",2017-11-12,13,2.56494935746154
"222",2017-11-13,18,2.89037175789616
"223",2017-11-14,19,2.94443897916644
"224",2017-11-15,23,3.13549421592915
"225",2017-11-16,11,2.39789527279837
"226",2017-11-17,14,2.63905732961526
"227",2017-11-18,11,2.39789527279837
"228",2017-11-19,24,3.17805383034795
"229",2017-11-20,35,3.55534806148941
"230",2017-11-21,11,2.39789527279837
"231",2017-11-22,17,2.83321334405622
"232",2017-11-23,7,1.94591014905531
"233",2017-11-24,13,2.56494935746154
"234",2017-11-25,13,2.56494935746154
"235",2017-11-26,18,2.89037175789616
"236",2017-11-27,17,2.83321334405622
"237",2017-11-28,30,3.40119738166216
"238",2017-11-29,22,3.09104245335832
"239",2017-11-30,21,3.04452243772342
"240",2017-12-01,8,2.07944154167984
"241",2017-12-02,11,2.39789527279837
"242",2017-12-03,19,2.94443897916644
"243",2017-12-04,14,2.63905732961526
"244",2017-12-05,31,3.43398720448515
"245",2017-12-06,13,2.56494935746154
"246",2017-12-07,21,3.04452243772342
"247",2017-12-08,15,2.70805020110221
"248",2017-12-09,13,2.56494935746154
"249",2017-12-10,22,3.09104245335832
"250",2017-12-11,25,3.2188758248682
"251",2017-12-12,21,3.04452243772342
"252",2017-12-13,20,2.99573227355399
"253",2017-12-14,21,3.04452243772342
"254",2017-12-15,15,2.70805020110221
"255",2017-12-16,14,2.63905732961526
"256",2017-12-17,19,2.94443897916644
"257",2017-12-18,24,3.17805383034795
"258",2017-12-19,20,2.99573227355399
"259",2017-12-20,24,3.17805383034795
"260",2017-12-21,13,2.56494935746154
"261",2017-12-22,16,2.77258872223978
"262",2017-12-23,15,2.70805020110221
"263",2017-12-24,10,2.30258509299405
"264",2017-12-25,5,1.6094379124341
"265",2017-12-26,14,2.63905732961526
"266",2017-12-27,27,3.29583686600433
"267",2017-12-28,22,3.09104245335832
"268",2017-12-29,27,3.29583686600433
"269",2017-12-30,18,2.89037175789616
"270",2017-12-31,22,3.09104245335832
"271",2018-01-01,28,3.3322045101752
"272",2018-01-02,18,2.89037175789616
"273",2018-01-03,20,2.99573227355399
"274",2018-01-04,18,2.89037175789616
"275",2018-01-05,15,2.70805020110221
"276",2018-01-06,9,2.19722457733622
"277",2018-01-07,16,2.77258872223978
"278",2018-01-08,26,3.25809653802148
"279",2018-01-09,15,2.70805020110221
"280",2018-01-10,16,2.77258872223978
"281",2018-01-11,15,2.70805020110221
"282",2018-01-12,17,2.83321334405622
"283",2018-01-13,15,2.70805020110221
"284",2018-01-14,10,2.30258509299405
"285",2018-01-15,22,3.09104245335832
"286",2018-01-16,23,3.13549421592915
"287",2018-01-17,27,3.29583686600433
"288",2018-01-18,20,2.99573227355399
"289",2018-01-19,18,2.89037175789616
"290",2018-01-20,9,2.19722457733622
"291",2018-01-21,24,3.17805383034795
"292",2018-01-22,35,3.55534806148941
"293",2018-01-23,33,3.49650756146648
"294",2018-01-24,32,3.46573590279973
"295",2018-01-25,10,2.30258509299405
"296",2018-01-26,18,2.89037175789616
"297",2018-01-27,13,2.56494935746154
"298",2018-01-28,30,3.40119738166216
"299",2018-01-29,25,3.2188758248682
"300",2018-01-30,19,2.94443897916644
"301",2018-01-31,32,3.46573590279973
"302",2018-02-01,17,2.83321334405622
"303",2018-02-02,19,2.94443897916644
"304",2018-02-03,20,2.99573227355399
"305",2018-02-04,24,3.17805383034795
"306",2018-02-05,27,3.29583686600433
"307",2018-02-06,25,3.2188758248682
"308",2018-02-07,26,3.25809653802148
"309",2018-02-08,22,3.09104245335832
"310",2018-02-09,16,2.77258872223978
"311",2018-02-10,20,2.99573227355399
"312",2018-02-11,23,3.13549421592915
"313",2018-02-12,29,3.36729582998647
"314",2018-02-13,35,3.55534806148941
"315",2018-02-14,28,3.3322045101752
"316",2018-02-15,20,2.99573227355399
"317",2018-02-16,16,2.77258872223978
"318",2018-02-17,18,2.89037175789616
"319",2018-02-18,14,2.63905732961526
"320",2018-02-19,31,3.43398720448515
"321",2018-02-20,41,3.71357206670431
"322",2018-02-21,35,3.55534806148941
"323",2018-02-22,24,3.17805383034795
"324",2018-02-23,21,3.04452243772342
"325",2018-02-24,19,2.94443897916644
"326",2018-02-25,27,3.29583686600433
"327",2018-02-26,34,3.52636052461616
"328",2018-02-27,23,3.13549421592915
"329",2018-02-28,31,3.43398720448515
"330",2018-03-01,31,3.43398720448515
"331",2018-03-02,17,2.83321334405622
"332",2018-03-03,13,2.56494935746154
"333",2018-03-04,22,3.09104245335832
